size,direction,distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,mouse_target.x,mouse_target.y,mouse_target.leftButton,mouse_target.midButton,mouse_target.rightButton,mouse_target.time,mouse_target.clicked_name,session,participant,date,expName,frameRate,
400,60,200,0,84,84,35,-0.2525,0.24888888888888888,1,0,0,0.5485919998027384,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,60,400,0,85,85,73,-0.14,-0.09333333333333334,1,0,0,0.5486753999721259,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,45,300,0,86,86,48,-0.10875,0.18222222222222223,1,0,0,0.6326005000155419,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,15,500,0,87,87,80,0.23,0.37777777777777777,1,0,0,0.8480875000823289,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
300,45,500,0,88,88,90,0.06875,-0.14,1,0,0,0.6318365000188351,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,45,500,0,89,89,89,0.06375,-0.14888888888888888,1,0,0,0.5484680999070406,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,75,100,0,90,90,17,-0.3225,0.4022222222222222,1,0,0,0.7486165000591427,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,60,500,0,91,91,92,-0.06625,-0.30666666666666664,1,0,0,0.6984286000952125,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,30,500,0,92,92,85,0.14625,0.09555555555555556,1,0,0,0.648413399932906,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,60,100,0,93,93,13,-0.32625,0.5,1,0,0,0.5486371000297368,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
300,30,500,0,94,94,86,0.1025,0.1622222222222222,1,0,0,0.6653974999208003,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,75,400,0,95,95,77,-0.23,-0.19333333333333333,1,0,0,0.6983666999731213,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,15,200,0,96,96,21,-0.13625,0.5333333333333333,1,0,0,0.6151318000629544,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
300,15,200,0,97,97,22,-0.135,0.5,1,0,0,0.46462440001778305,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,75,200,0,98,98,37,-0.29375,0.24888888888888888,1,0,0,0.6980525001417845,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
400,45,300,0,99,99,51,-0.12625,0.21555555555555556,1,0,0,0.5153475000988692,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
400,30,300,1,0,100,47,-0.07125,0.30666666666666664,1,0,0,0.4982280998956412,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,15,500,1,1,101,80,0.22,0.35333333333333333,1,0,0,0.8648938999976963,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,60,300,1,2,102,53,-0.205,0.12222222222222222,1,0,0,0.9142226001713425,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,60,400,1,3,103,72,-0.12625,-0.11555555555555555,1,0,0,0.7645466001704335,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
300,30,200,1,4,104,26,-0.15625,0.4266666666666667,1,0,0,0.4816272999159992,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,15,500,1,5,105,81,0.22125,0.34,1,0,0,0.648504100041464,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,75,500,1,6,106,97,-0.2125,-0.4022222222222222,1,0,0,0.9147518000099808,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,60,500,1,7,107,92,-0.0625,-0.30444444444444446,1,0,0,0.8976479000411928,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,30,300,1,8,108,45,-0.035,0.2911111111111111,1,0,0,0.6813934000674635,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,60,200,1,9,109,32,-0.25375,0.29333333333333333,1,0,0,0.7157559001352638,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
400,60,500,1,10,110,95,-0.08375,-0.2311111111111111,1,0,0,0.5150357000529766,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,60,300,1,11,111,52,-0.18375,0.06888888888888889,1,0,0,0.7490294000599533,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,30,200,1,12,112,24,-0.175,0.43555555555555553,1,0,0,0.6651201001368463,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
400,75,400,1,13,113,79,-0.245,-0.12222222222222222,1,0,0,0.5490921000018716,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,45,100,1,14,114,8,-0.2775,0.5111111111111111,1,0,0,0.8649743001442403,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
