size,direction,distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,mouse_target.x,mouse_target.y,mouse_target.leftButton,mouse_target.midButton,mouse_target.rightButton,mouse_target.time,mouse_target.clicked_name,session,participant,date,expName,frameRate,
100,15,400,0,64,64,60,0.095,0.4222222222222222,1,0,0,0.8809583000838757,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,75,400,0,65,65,79,-0.19625,-0.14,1,0,0,0.5323919999646023,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,30,500,0,66,66,84,0.16625,0.10888888888888888,1,0,0,0.8314575999975204,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,60,500,0,67,67,92,-0.08,-0.3111111111111111,1,0,0,0.998033200041391,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,75,300,0,68,68,59,-0.31875,0.09111111111111111,1,0,0,0.46539079991634935,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,45,300,0,69,69,51,-0.17,0.22666666666666666,1,0,0,0.46466079994570464,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,30,100,0,70,70,5,-0.26,0.5422222222222223,1,0,0,0.5152422999963164,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,15,100,0,71,71,3,-0.21125,0.5466666666666666,1,0,0,0.5320937000215054,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,30,200,0,72,72,26,-0.16375,0.4577777777777778,1,0,0,0.5653074000729248,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,15,300,0,73,73,41,-0.01875,0.45555555555555555,1,0,0,0.5153113000560552,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,45,100,0,74,74,11,-0.2425,0.5266666666666666,1,0,0,0.36548579996451735,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,30,400,0,75,75,66,0.04625,0.2911111111111111,1,0,0,0.5322039999300614,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,15,100,0,76,76,2,-0.24875,0.5644444444444444,1,0,0,0.4651847999775782,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,75,100,0,77,77,18,-0.3125,0.44222222222222224,1,0,0,0.4652358000166714,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,45,100,0,78,78,10,-0.3125,0.5288888888888889,1,0,0,0.4157086000777781,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,30,300,0,79,79,47,-0.0275,0.31555555555555553,1,0,0,0.5151755000697449,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,60,500,0,80,80,95,0.0275,-0.23777777777777778,1,0,0,0.4318369999527931,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,60,200,0,81,81,35,-0.27,0.4311111111111111,1,0,0,0.39909909991547465,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,75,500,0,82,82,97,-0.20125,-0.49333333333333335,1,0,0,0.8813536999514326,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,60,100,0,83,83,14,-0.2675,0.4266666666666667,1,0,0,0.3658535999711603,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,15,200,0,84,84,21,-0.15125,0.5866666666666667,1,0,0,0.44861179997678846,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,45,200,0,85,85,31,-0.205,0.3711111111111111,1,0,0,0.44844910001847893,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,60,300,0,86,86,54,-0.2175,0.16444444444444445,1,0,0,0.5490965000353754,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,75,400,0,87,87,78,-0.26375,-0.1688888888888889,1,0,0,0.465408300049603,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,60,500,0,88,88,93,-0.0725,-0.3422222222222222,1,0,0,0.9647379000671208,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,75,500,0,89,89,98,-0.21625,-0.3422222222222222,1,0,0,0.7648787000216544,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,30,300,0,90,90,44,-0.06125,0.3422222222222222,1,0,0,1.1141013000160456,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,60,500,0,91,91,94,-0.07125,-0.2866666666666667,1,0,0,0.6815316999563947,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,30,200,0,92,92,27,-0.2,0.44666666666666666,1,0,0,0.4139654999598861,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,45,300,0,93,93,48,-0.125,0.19555555555555557,1,0,0,0.7480862999800593,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,60,400,0,94,94,75,-0.19875,-0.13333333333333333,1,0,0,0.4989634999074042,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,45,200,0,95,95,28,-0.19,0.35555555555555557,1,0,0,0.532054299954325,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,15,200,0,96,96,20,-0.13,0.54,1,0,0,0.765218700049445,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,30,500,0,97,97,86,0.19875,0.15333333333333332,1,0,0,0.830260599963367,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,75,300,0,98,98,57,-0.2575,0.02666666666666667,1,0,0,0.6819237000308931,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,15,300,0,99,99,40,-0.02,0.49777777777777776,1,0,0,0.8661999000469223,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,60,400,1,0,100,73,-0.11125,-0.09333333333333334,1,0,0,0.7152103999396786,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,45,400,1,1,101,70,0.08,-0.06,1,0,0,0.49864220002200454,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,45,200,1,2,102,31,-0.18875,0.3288888888888889,1,0,0,0.5315189000684768,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,30,500,1,3,103,84,0.1975,0.09555555555555556,1,0,0,1.0814233999699354,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
